text,sentiment
It's a amazing day today.,positive
What a poor situation.,negative
My day was filled with joy,positive
It's a amazing day today.,positive
I can't believe how dreadful this is.,negative
I can't believe how miserable this is.,negative
I can't believe how useless this is.,negative
This is absolutely depressing,negative
What a frustrating situation.,negative
Everything about this is just satisfied,positive
The company is based in new york.,neutral
The whole thing was a terrible experience,negative
I can't believe how dreadful this is.,negative
This situation is a total nightmare,negative
The product specifications are in the computer,neutral
What a perfect paradise,positive
The meeting will begin shortly.,neutral
The news was quite horrible,negative
Everything about this is just fantastic,positive
It's a ecstatic day today.,positive
I wholeheartedly enjoy this product.,positive
I'm dealing with a annoying con,negative
I'm dealing with a worst mess,negative
The experience is a joy to watch,positive
The document has located in the city center,neutral
The meeting will begin shortly.,neutral
It's a dreadful day for me.,negative
This is a factual statement.,neutral
This situation is a total issue,negative
The experience is my favorite,positive
The movie was annoying,negative
I despise having to do this.,negative
That is on the table,neutral
The product specifications are in the computer,neutral
The food tastes perfect,positive
My day was filled with miracle,positive
I feel so awesome,positive
The whole thing is a total failure,negative
I am thoroughly impressed and perfect,positive
I feel so wonderful,positive
The whole thing was a complete disaster,negative
I'm dealing with a poor con,negative
The service was horrible,negative
What a content treasure,positive
This situation is a total mess,negative
The report contains five sections.,neutral
This contains located in the city center,neutral
The food tastes pleased,positive
The meeting will begin shortly.,neutral
I feel very awful,negative
The movie was terrible,negative
I am thoroughly impressed and pleased,positive
The experience exceeded all expectations,positive
The object is rectangular.,neutral
The company is based in new york.,neutral
What a amazing sunshine,positive
This have located in the city center,neutral
The product specifications are in the water,neutral
What a poor situation.,negative
The file has been downloaded.,neutral
This paradise is a reason for party,positive
I loathe having to do this.,negative
The experience is the best,positive
Please review the attached item,neutral
The experience makes me happy,positive
The file has been downloaded.,neutral
What a bad situation.,negative
The company is based in new york.,neutral
This is truly fantastic,positive
Please review the attached house,neutral
It's a joyful day today.,positive
This friendship is a reason for opportunity,positive
The event is scheduled for tomorrow.,neutral
I hate having to do this.,negative
What a amazing wonder,positive
I wholeheartedly love this product.,positive
The service was poor,negative
Please review the attached document,neutral
The object is rectangular.,neutral
This is absolutely awful,negative
I am thoroughly impressed and fantastic,positive
The event is scheduled for tomorrow.,neutral
I feel very frustrating,negative
The whole thing is not worth it,negative
The meeting will begin shortly.,neutral
The food tastes fantastic,positive
The movie was disappointing,negative
I am thoroughly impressed and lovely,positive
This is truly brilliant,positive
I'm dealing with a annoying mess,negative
I am thoroughly impressed and superb,positive
I wholeheartedly support this product.,positive
The computer had on the desk.,neutral
Please review the attached car,neutral
I absolutely value this.,positive
The whole thing is very disappointing,negative
This is truly joyful,positive
I completely hate this.,negative
She is reading the book,neutral
The performance was lovely,positive
The city did on the desk.,neutral
The product specifications are in the product,neutral
The report contains five sections.,neutral
The event is scheduled for tomorrow.,neutral
The product specifications are in the product,neutral
The file has been downloaded.,neutral
I feel very unhappy,negative
My day was filled with celebration,positive
I absolutely love this.,positive
I wholeheartedly enjoy this product.,positive
This situation is a total issue,negative
This is absolutely poor,negative
I absolutely praise this.,positive
Everything about this is just awesome,positive
The performance was perfect,positive
The meeting will begin shortly.,neutral
This is a factual statement.,neutral
The company is based in new york.,neutral
The object is rectangular.,neutral
This is truly pleased,positive
The meeting will begin shortly.,neutral
The system were on the desk.,neutral
I absolutely celebrate this.,positive
The document was on the desk.,neutral
The product specifications are in the table,neutral
The service was sad,negative
I feel so brilliant,positive
Please review the attached phone,neutral
I'm dealing with a depressing tragedy,negative
This situation is a total con,negative
The whole thing is a total failure,negative
What a amazing opportunity,positive
I absolutely cherish this.,positive
I reject having to do this.,negative
I can't believe how frustrating this is.,negative
She is preparing the report,neutral
I feel so delighted,positive
The service was miserable,negative
I completely hate this.,negative
This friendship is a reason for success,positive
I feel so pleased,positive
She is reading the book,neutral
What a useless situation.,negative
I am thoroughly impressed and joyful,positive
The meeting will begin shortly.,neutral
The meeting will begin shortly.,neutral
It's a happy day today.,positive
What a wonderful miracle,positive
It's a perfect day today.,positive
It's a brilliant day today.,positive
The service was miserable,negative
The event is scheduled for tomorrow.,neutral
I dread having to do this.,negative
This is a factual statement.,neutral
I feel very annoying,negative
The item contains made of wood,neutral
I'm dealing with a terrible struggle,negative
She is reading the book,neutral
The movie was bad,negative
The item had on the desk.,neutral
This is a factual statement.,neutral
Please review the attached water,neutral
Please review the attached city,neutral
This is a factual statement.,neutral
The experience works perfectly,positive
The report contains five sections.,neutral
The report contains five sections.,neutral
I absolutely love this.,positive
Everything about this is just great,positive
I wholeheartedly love this product.,positive
This is a factual statement.,neutral
The meeting will begin shortly.,neutral
The table were on the desk.,neutral
The file has been downloaded.,neutral
The whole thing is a total failure,negative
It's a ecstatic day today.,positive
I can't believe how useless this is.,negative
I am thoroughly impressed and amazing,positive
My day was filled with celebration,positive
The company is based in new york.,neutral
The item is blue,neutral
What a awful situation.,negative
I can't believe how miserable this is.,negative
I can't believe how unhappy this is.,negative
This bliss is a reason for bliss,positive
My day was filled with paradise,positive
The service was annoying,negative
The experience is a joy to watch,positive
It's a satisfied day today.,positive
The company is based in new york.,neutral
This situation is a total mess,negative
I completely loathe this.,negative
I loathe having to do this.,negative
The event is scheduled for tomorrow.,neutral
I completely dislike this.,negative
The food tastes superb,positive
The performance was delighted,positive
This sunshine is a reason for party,positive
Please review the attached house,neutral
The service was frustrating,negative
It's a perfect day today.,positive
This wonder is a reason for gift,positive
The news was quite poor,negative
The food tastes brilliant,positive
The item was on the desk.,neutral
I can't believe how worst this is.,negative
Everything about this is just excellent,positive
The movie was disappointing,negative
The company is based in new york.,neutral
I am thoroughly impressed and lovely,positive
The whole thing is not worth it,negative
The company is based in new york.,neutral
The service was disappointing,negative
What a brilliant sunshine,positive
The service was horrible,negative
The event is scheduled for tomorrow.,neutral
The service was frustrating,negative
The whole thing is very disappointing,negative
I hate having to do this.,negative
The file has been downloaded.,neutral
The report contains five sections.,neutral
It's a pleased day today.,positive
He contains blue,neutral
The meeting will begin shortly.,neutral
The report contains five sections.,neutral
I completely reject this.,negative
This is absolutely annoying,negative
Everything about this is just amazing,positive
My day was filled with opportunity,positive
The event is scheduled for tomorrow.,neutral
This success is a reason for party,positive
It's a bad day for me.,negative
She have scheduled for 3 pm,neutral
I am thoroughly impressed and fantastic,positive
This situation is a total mess,negative
I wholeheartedly celebrate this product.,positive
The performance was satisfied,positive
The report contains five sections.,neutral
I can't believe how bad this is.,negative
The meeting will begin shortly.,neutral
The company is based in new york.,neutral
The whole thing is not worth it,negative
This gift is a reason for miracle,positive
This situation is a total nightmare,negative
The movie was unhappy,negative
Please review the attached city,neutral
This situation is a total disaster,negative
The file has been downloaded.,neutral
I am thoroughly impressed and satisfied,positive
The meeting will begin shortly.,neutral
It's a sad day for me.,negative
The experience is the best,positive
I refuse having to do this.,negative
I absolutely cherish this.,positive
This is a factual statement.,neutral
The news was quite awful,negative
I completely loathe this.,negative
The event is scheduled for tomorrow.,neutral
The whole thing was a complete disaster,negative
The performance was happy,positive
I'm dealing with a unhappy disaster,negative
Everything about this is just wonderful,positive
I feel so happy,positive
The object is rectangular.,neutral
The news was quite frustrating,negative
The system works on the table,neutral
The event is scheduled for tomorrow.,neutral
I'm dealing with a disappointing disaster,negative
The news was quite dreadful,negative
The object is rectangular.,neutral
Everything about this is just excellent,positive
I wholeheartedly praise this product.,positive
It's a satisfied day today.,positive
I feel very poor,negative
This situation is a total problem,negative
What a miserable situation.,negative
The movie was dreadful,negative
The service was depressing,negative
This paradise is a reason for treasure,positive
This is absolutely unhappy,negative
The file has been downloaded.,neutral
The company is based in new york.,neutral
I feel very miserable,negative
The service was dreadful,negative
What a delighted achievement,positive
She is reading the book,neutral
The report contains five sections.,neutral
The object is rectangular.,neutral
I can't believe how horrible this is.,negative
It's a joyful day today.,positive
I wholeheartedly celebrate this product.,positive
It's a awful day for me.,negative
I feel very awful,negative
The news was quite horrible,negative
The news was quite frustrating,negative
The whole thing makes me feel sick,negative
The event is scheduled for tomorrow.,neutral
The company is based in new york.,neutral
I feel so fantastic,positive
The object is rectangular.,neutral
The chair had on the desk.,neutral
The news was quite poor,negative
I feel very dreadful,negative
This is a factual statement.,neutral
The food tastes happy,positive
The service was disappointing,negative
The file has been downloaded.,neutral
The computer had on the desk.,neutral
What a depressing situation.,negative
The product specifications are in the system,neutral
I completely despise this.,negative
I despise having to do this.,negative
She is going to the office,neutral
I completely loathe this.,negative
It's a perfect day today.,positive
The service was poor,negative
I feel so superb,positive
The event is scheduled for tomorrow.,neutral
The movie was bad,negative
I wholeheartedly praise this product.,positive
I dislike having to do this.,negative
The performance was ecstatic,positive
I can't believe how sad this is.,negative
This achievement is a reason for miracle,positive
I wholeheartedly praise this product.,positive
Please review the attached computer,neutral
My day was filled with opportunity,positive
This is absolutely poor,negative
The whole thing is very disappointing,negative
The service was sad,negative
This is a factual statement.,neutral
The product specifications are in the document,neutral
The meeting will begin shortly.,neutral
Everything about this is just brilliant,positive
This joy is a reason for wonder,positive
I'm dealing with a depressing disaster,negative
The experience exceeded all expectations,positive
The meeting will begin shortly.,neutral
This is truly thrilled,positive
I wholeheartedly appreciate this product.,positive
I wholeheartedly support this product.,positive
I absolutely celebrate this.,positive
What a disappointing situation.,negative
It's a lovely day today.,positive
I feel so brilliant,positive
This success is a reason for achievement,positive
I am thoroughly impressed and pleased,positive
My day was filled with success,positive
This is absolutely horrible,negative
Please review the attached car,neutral
The news was quite bad,negative
What a amazing miracle,positive
I dislike having to do this.,negative
The meeting will begin shortly.,neutral
The event is scheduled for tomorrow.,neutral
I despise having to do this.,negative
I feel so happy,positive
What a dreadful situation.,negative
The service was dreadful,negative
The meeting will begin shortly.,neutral
Everything about this is just wonderful,positive
I feel so perfect,positive
Everything about this is just amazing,positive
The meeting will begin shortly.,neutral
The event is scheduled for tomorrow.,neutral
What a fantastic bliss,positive
This is truly satisfied,positive
She is using the system,neutral
She is attending the meeting,neutral
The performance was wonderful,positive
Please review the attached city,neutral
I wholeheartedly support this product.,positive
My day was filled with success,positive
I wholeheartedly appreciate this product.,positive
The food tastes amazing,positive
What a perfect celebration,positive
The meeting will begin shortly.,neutral
This is truly joyful,positive
I feel very abysmal,negative
This wonder is a reason for friendship,positive
I feel very annoying,negative
I feel so amazing,positive
It's a delighted day today.,positive
I can't stand having to do this.,negative
What a amazing treasure,positive
My day was filled with friendship,positive
That are blue,neutral
I feel very abysmal,negative
The file has been downloaded.,neutral
The service was horrible,negative
What a brilliant treasure,positive
The object is rectangular.,neutral
This is truly awesome,positive
It's a perfect day today.,positive
The company is based in new york.,neutral
This miracle is a reason for miracle,positive
This situation is a total disaster,negative
My day was filled with treasure,positive
I can't believe how depressing this is.,negative
The product specifications are in the building,neutral
I feel so pleased,positive
The file has been downloaded.,neutral
The city had on the desk.,neutral
I feel very awful,negative
This is truly ecstatic,positive
I regret having to do this.,negative
It has scheduled for 3 pm,neutral
She is using the system,neutral
I feel very depressing,negative
The event is scheduled for tomorrow.,neutral
Everything about this is just happy,positive
The product specifications are in the book,neutral
This is a factual statement.,neutral
I'm dealing with a miserable failure,negative
What a happy bliss,positive
The report contains five sections.,neutral
I am thoroughly impressed and great,positive
The object is rectangular.,neutral
The experience is truly inspiring,positive
The experience works perfectly,positive
The news was quite bad,negative
The performance was thrilled,positive
This is a factual statement.,neutral
The file has been downloaded.,neutral
The object is rectangular.,neutral
The service was worst,negative
I can't believe how terrible this is.,negative
This situation is a total mess,negative
The file has been downloaded.,neutral
I feel very annoying,negative
The item are a standard procedure,neutral
The event is scheduled for tomorrow.,neutral
The object is rectangular.,neutral
I'm dealing with a frustrating tragedy,negative
What a thrilled party,positive
The event is scheduled for tomorrow.,neutral
The news was quite horrible,negative
The experience works perfectly,positive
The food tastes content,positive
The whole thing was a complete disaster,negative
She is preparing the report,neutral
It's a happy day today.,positive
I'm dealing with a annoying problem,negative
Everything about this is just delighted,positive
My day was filled with gift,positive
This is a factual statement.,neutral
She is attending the meeting,neutral
She is preparing the report,neutral
The experience is truly inspiring,positive
I completely hate this.,negative
I completely loathe this.,negative
I feel so great,positive
This miracle is a reason for wonder,positive
The news was quite abysmal,negative
The movie was bad,negative
The service was bad,negative
I feel very horrible,negative
The service was sad,negative
My day was filled with achievement,positive
Please review the attached city,neutral
I can't believe how depressing this is.,negative
The service was annoying,negative
The performance was content,positive
I am thoroughly impressed and superb,positive
The water were on the desk.,neutral
I loathe having to do this.,negative
What a lovely achievement,positive
The movie was awful,negative
The whole thing is not worth it,negative
The item was on the desk.,neutral
This is truly wonderful,positive
The object is rectangular.,neutral
This is a factual statement.,neutral
The event is scheduled for tomorrow.,neutral
This is absolutely useless,negative
The event is scheduled for tomorrow.,neutral
This success is a reason for joy,positive
Everything about this is just pleased,positive
I'm dealing with a dreadful struggle,negative
What a useless situation.,negative
I can't believe how awful this is.,negative
The report contains five sections.,neutral
My day was filled with celebration,positive
The book had on the desk.,neutral
What a pleased achievement,positive
Everything about this is just ecstatic,positive
The service was depressing,negative
I reject having to do this.,negative
The food tastes pleased,positive
The event is scheduled for tomorrow.,neutral
The event is scheduled for tomorrow.,neutral
The product specifications are in the report,neutral
This is absolutely poor,negative
It's a miserable day for me.,negative
Everything about this is just brilliant,positive
I wholeheartedly celebrate this product.,positive
I completely refuse this.,negative
I can't believe how depressing this is.,negative
The performance was wonderful,positive
I feel very useless,negative
This success is a reason for miracle,positive
She have made of wood,neutral
The phone did on the desk.,neutral
The performance was brilliant,positive
The performance was joyful,positive
Everything about this is just satisfied,positive
What a unhappy situation.,negative
The news was quite useless,negative
The meeting will begin shortly.,neutral
This is a factual statement.,neutral
This is truly delighted,positive
The company is based in new york.,neutral
The event is scheduled for tomorrow.,neutral
The whole thing is a waste of time,negative
The report contains a standard procedure,neutral
I can't believe how frustrating this is.,negative
The report contains five sections.,neutral
The food tastes amazing,positive
The experience works perfectly,positive
I absolutely adore this.,positive
What a bad situation.,negative
The company is based in new york.,neutral
The performance was superb,positive
The food tastes happy,positive
This situation is a total pain,negative
The object is rectangular.,neutral
The file has been downloaded.,neutral
The food tastes thrilled,positive
Everything about this is just perfect,positive
The file has been downloaded.,neutral
I completely dread this.,negative
The company is based in new york.,neutral
What a brilliant party,positive
Please review the attached item,neutral
This is absolutely horrible,negative
The file has been downloaded.,neutral
I reject having to do this.,negative
The experience exceeded all expectations,positive
The object is rectangular.,neutral
The event is scheduled for tomorrow.,neutral
The performance was satisfied,positive
I am thoroughly impressed and content,positive
The company is based in new york.,neutral
I wholeheartedly adore this product.,positive
The object is rectangular.,neutral
I can't believe how abysmal this is.,negative
This is a factual statement.,neutral
I can't stand having to do this.,negative
I regret having to do this.,negative
I feel very unhappy,negative
I feel very frustrating,negative
What a satisfied bliss,positive
The meeting will begin shortly.,neutral
I completely dread this.,negative
This is truly joyful,positive
This is absolutely depressing,negative
Everything about this is just wonderful,positive
This is truly excellent,positive
The meeting will begin shortly.,neutral
The file has been downloaded.,neutral
The service was annoying,negative
I feel very terrible,negative
What a wonderful miracle,positive
The object is rectangular.,neutral
The movie was frustrating,negative
I'm dealing with a worst disaster,negative
I can't believe how worst this is.,negative
The object is rectangular.,neutral
The product specifications are in the chair,neutral
I can't believe how terrible this is.,negative
What a miserable situation.,negative
I am thoroughly impressed and joyful,positive
I absolutely recommend this.,positive
The report contains five sections.,neutral
I'm dealing with a abysmal pain,negative
The news was quite sad,negative
They are located in the city center,neutral
I'm dealing with a abysmal issue,negative
I feel very abysmal,negative
I feel very disappointing,negative
I am thoroughly impressed and superb,positive
This is a factual statement.,neutral
I hate having to do this.,negative
I can't believe how annoying this is.,negative
This is truly fantastic,positive
I feel so pleased,positive
What a worst situation.,negative
I feel very annoying,negative
This is a factual statement.,neutral
The performance was great,positive
The event is scheduled for tomorrow.,neutral
I dislike having to do this.,negative
This is a factual statement.,neutral
I'm dealing with a useless issue,negative
This is absolutely worst,negative
The food tastes joyful,positive
This party is a reason for paradise,positive
I regret having to do this.,negative
I absolutely recommend this.,positive
I'm dealing with a annoying nightmare,negative
I feel very depressing,negative
I wholeheartedly celebrate this product.,positive
Please review the attached water,neutral
The meeting will begin shortly.,neutral
The performance was ecstatic,positive
The whole thing was a terrible experience,negative
The company is based in new york.,neutral
The book were on the desk.,neutral
I absolutely enjoy this.,positive
I wholeheartedly cherish this product.,positive
I can't believe how useless this is.,negative
I refuse having to do this.,negative
I feel very annoying,negative
I'm dealing with a useless nightmare,negative
She is attending the meeting,neutral
The food tastes lovely,positive
They have a standard procedure,neutral
The object is rectangular.,neutral
This is a factual statement.,neutral
It's a fantastic day today.,positive
The movie was unhappy,negative
I'm dealing with a annoying nightmare,negative
I absolutely support this.,positive
The report contains five sections.,neutral
I feel very horrible,negative
What a useless situation.,negative
The news was quite annoying,negative
This is truly great,positive
The performance was great,positive
I completely regret this.,negative
I wholeheartedly praise this product.,positive
The performance was great,positive
I'm dealing with a terrible mess,negative
I absolutely praise this.,positive
What a bad situation.,negative
This is truly happy,positive
Please review the attached system,neutral
He do made of wood,neutral
I feel very dreadful,negative
He does a standard procedure,neutral
The report contains five sections.,neutral
I'm dealing with a useless struggle,negative
What a superb wonder,positive
The news was quite bad,negative
The file has been downloaded.,neutral
My day was filled with paradise,positive
I absolutely support this.,positive
The experience exceeded all expectations,positive
I dread having to do this.,negative
The item does a standard procedure,neutral
This is truly pleased,positive
I absolutely celebrate this.,positive
This is absolutely unhappy,negative
I wholeheartedly appreciate this product.,positive
The meeting will begin shortly.,neutral
I absolutely adore this.,positive
I completely dislike this.,negative
I'm dealing with a bad issue,negative
The performance was superb,positive
I feel very unhappy,negative
Everything about this is just superb,positive
What a frustrating situation.,negative
The file has been downloaded.,neutral
I absolutely love this.,positive
The company is based in new york.,neutral
I refuse having to do this.,negative
The news was quite worst,negative
This is absolutely awful,negative
The report was on the desk.,neutral
What a amazing opportunity,positive
The product specifications are in the computer,neutral
I wholeheartedly admire this product.,positive
The experience was a great experience,positive
The movie was disappointing,negative
The car are blue,neutral
This is truly great,positive
It's a delighted day today.,positive
She is preparing the report,neutral
This is a factual statement.,neutral
What a brilliant opportunity,positive
The experience is truly inspiring,positive
The service was disappointing,negative
The event is scheduled for tomorrow.,neutral
The news was quite miserable,negative
She is driving the car,neutral
I refuse having to do this.,negative
The movie was depressing,negative
The news was quite frustrating,negative
The whole thing is a waste of time,negative
This situation is a total problem,negative
The performance was joyful,positive
The product specifications are in the report,neutral
The whole thing is very disappointing,negative
This is truly joyful,positive
The meeting will begin shortly.,neutral
The service was poor,negative
The experience exceeded all expectations,positive
The news was quite bad,negative
Please review the attached table,neutral
This situation is a total struggle,negative
This is absolutely worst,negative
This paradise is a reason for opportunity,positive
The whole thing is not worth it,negative
This is absolutely unhappy,negative
The movie was abysmal,negative
The report contains five sections.,neutral
The news was quite dreadful,negative
They does blue,neutral
The company is based in new york.,neutral
Please review the attached house,neutral
I absolutely admire this.,positive
It's a happy day today.,positive
The object is rectangular.,neutral
It's a brilliant day today.,positive
The whole thing was a complete disaster,negative
This situation is a total problem,negative
The whole thing was a terrible experience,negative
Everything about this is just pleased,positive
It's a pleased day today.,positive
The company is based in new york.,neutral
The movie was worst,negative
The meeting will begin shortly.,neutral
What a terrible situation.,negative
The company is based in new york.,neutral
The whole thing is a total failure,negative
The experience is the best,positive
The food tastes content,positive
The movie was abysmal,negative
What a sad situation.,negative
This situation is a total failure,negative
This is a factual statement.,neutral
The service was useless,negative
It's a dreadful day for me.,negative
Please review the attached book,neutral
It's a pleased day today.,positive
I can't believe how useless this is.,negative
This situation is a total nightmare,negative
What a happy celebration,positive
This is a factual statement.,neutral
The meeting will begin shortly.,neutral
What a ecstatic achievement,positive
The performance was superb,positive
The movie was terrible,negative
What a annoying situation.,negative
The performance was ecstatic,positive
They does located in the city center,neutral
What a abysmal situation.,negative
It's a satisfied day today.,positive
She is using the system,neutral
I feel very annoying,negative
The object is rectangular.,neutral
It's a unhappy day for me.,negative
The performance was lovely,positive
That contains blue,neutral
I completely loathe this.,negative
The event is scheduled for tomorrow.,neutral
The phone had on the desk.,neutral
It's a great day today.,positive
The event is scheduled for tomorrow.,neutral
My day was filled with bliss,positive
What a terrible situation.,negative
It's a unhappy day for me.,negative
The object is rectangular.,neutral
The whole thing is a total failure,negative
I wholeheartedly enjoy this product.,positive
The report contains five sections.,neutral
I completely refuse this.,negative
The file has been downloaded.,neutral
The meeting will begin shortly.,neutral
The movie was miserable,negative
I completely despise this.,negative
The company is based in new york.,neutral
This is absolutely awful,negative
The file has been downloaded.,neutral
The product specifications are in the house,neutral
The file has been downloaded.,neutral
She is preparing the report,neutral
My day was filled with joy,positive
This is absolutely awful,negative
The whole thing makes me feel sick,negative
Please review the attached building,neutral
The performance was great,positive
This situation is a total tragedy,negative
What a amazing miracle,positive
This achievement is a reason for paradise,positive
This situation is a total tragedy,negative
It's a dreadful day for me.,negative
What a content paradise,positive
It's a lovely day today.,positive
The whole thing was a complete disaster,negative
It's a excellent day today.,positive
My day was filled with miracle,positive
The object is rectangular.,neutral
She is using the system,neutral
This is absolutely miserable,negative
The movie was poor,negative
What a great party,positive
She is using the system,neutral
The meeting will begin shortly.,neutral
The experience is my favorite,positive
I am thoroughly impressed and superb,positive
This situation is a total scam,negative
This is a factual statement.,neutral
The experience works perfectly,positive
This is a factual statement.,neutral
I completely hate this.,negative
The object is rectangular.,neutral
This is a factual statement.,neutral
The movie was depressing,negative
This is absolutely terrible,negative
I completely reject this.,negative
It's a dreadful day for me.,negative
The product specifications are in the report,neutral
The report contains five sections.,neutral
The document do a standard procedure,neutral
I wholeheartedly appreciate this product.,positive
My day was filled with achievement,positive
It's a bad day for me.,negative
This is truly awesome,positive
The experience was a great experience,positive
She is going to the office,neutral
The object is rectangular.,neutral
She is preparing the report,neutral
This is truly joyful,positive
This is a factual statement.,neutral
The system do scheduled for 3 pm,neutral
The movie was annoying,negative
Please review the attached phone,neutral
It's a awesome day today.,positive
Please review the attached building,neutral
What a pleased party,positive
What a terrible situation.,negative
The report contains five sections.,neutral
The service was awful,negative
This is a factual statement.,neutral
This is a factual statement.,neutral
The food tastes great,positive
This is a factual statement.,neutral
Please review the attached phone,neutral
She is attending the meeting,neutral
This treasure is a reason for joy,positive
The company is based in new york.,neutral
I absolutely support this.,positive
I can't believe how dreadful this is.,negative
I wholeheartedly celebrate this product.,positive
This situation is a total pain,negative
This is a factual statement.,neutral
Please review the attached phone,neutral
The water did on the desk.,neutral
The experience is truly inspiring,positive
The experience is a joy to watch,positive
The whole thing was a complete disaster,negative
I am thoroughly impressed and delighted,positive
I completely can't stand this.,negative
This is absolutely terrible,negative
This is absolutely frustrating,negative
It's a superb day today.,positive
I dislike having to do this.,negative
The item contains scheduled for 3 pm,neutral
The company is based in new york.,neutral
The service was depressing,negative
I wholeheartedly recommend this product.,positive
That have on the table,neutral
I absolutely admire this.,positive
This is truly great,positive
The item have on the table,neutral
The experience is the best,positive
The report contains five sections.,neutral
This situation is a total struggle,negative
The company is based in new york.,neutral
The car do on the table,neutral
The movie was bad,negative
The event is scheduled for tomorrow.,neutral
My day was filled with gift,positive
The performance was excellent,positive
Please review the attached document,neutral
I completely dislike this.,negative
The report contains five sections.,neutral
The movie was worst,negative
I wholeheartedly enjoy this product.,positive
I despise having to do this.,negative
The event is scheduled for tomorrow.,neutral
The product did on the desk.,neutral
The file has been downloaded.,neutral
This is a factual statement.,neutral
Please review the attached city,neutral
I'm dealing with a poor burden,negative
The service was annoying,negative
The meeting will begin shortly.,neutral
My day was filled with achievement,positive
The meeting will begin shortly.,neutral
The report has located in the city center,neutral
Please review the attached car,neutral
The product specifications are in the water,neutral
The meeting will begin shortly.,neutral
I absolutely cherish this.,positive
Everything about this is just wonderful,positive
The food tastes awesome,positive
Please review the attached phone,neutral
This is truly awesome,positive
I wholeheartedly recommend this product.,positive
The file has been downloaded.,neutral
This treasure is a reason for party,positive
I feel very awful,negative
It's a wonderful day today.,positive
The company is based in new york.,neutral
I can't stand having to do this.,negative
This party is a reason for friendship,positive
The report contains five sections.,neutral
I'm dealing with a miserable con,negative
I absolutely enjoy this.,positive
The company is based in new york.,neutral
What a awesome miracle,positive
The news was quite sad,negative
The company is based in new york.,neutral
The experience was a great experience,positive
The experience is the best,positive
I despise having to do this.,negative
I feel so awesome,positive
The file has been downloaded.,neutral
It's a pleased day today.,positive
The report contains five sections.,neutral
This is truly wonderful,positive
I refuse having to do this.,negative
The meeting will begin shortly.,neutral
The water did on the desk.,neutral
The company is based in new york.,neutral
I completely dislike this.,negative
I'm dealing with a unhappy nightmare,negative
It's a frustrating day for me.,negative
I completely loathe this.,negative
I am thoroughly impressed and thrilled,positive
The company is based in new york.,neutral
It's a bad day for me.,negative
The company is based in new york.,neutral
This situation is a total tragedy,negative
Please review the attached table,neutral
This is absolutely miserable,negative
I can't stand having to do this.,negative
She is attending the meeting,neutral
What a awful situation.,negative
The movie was terrible,negative
My day was filled with wonder,positive
The report contains five sections.,neutral
The object is rectangular.,neutral
I feel so wonderful,positive
The house did on the desk.,neutral
It's a sad day for me.,negative
Please review the attached house,neutral
My day was filled with celebration,positive
I'm dealing with a disappointing problem,negative
The food tastes satisfied,positive
The report contains five sections.,neutral
The object is rectangular.,neutral
Everything about this is just lovely,positive
I'm dealing with a disappointing nightmare,negative
The service was worst,negative
I feel so great,positive
The whole thing is very disappointing,negative
The food tastes perfect,positive
The report contains five sections.,neutral
The product specifications are in the system,neutral
I'm dealing with a useless issue,negative
The news was quite bad,negative
The event is scheduled for tomorrow.,neutral
I hate having to do this.,negative
This is truly wonderful,positive
The news was quite disappointing,negative
This situation is a total failure,negative
The service was awful,negative
I feel very depressing,negative
I feel so excellent,positive
I hate having to do this.,negative
I can't believe how sad this is.,negative
What a awesome bliss,positive
The report are located in the city center,neutral
The experience works perfectly,positive
I am thoroughly impressed and joyful,positive
The experience is my favorite,positive
The company is based in new york.,neutral
This party is a reason for success,positive
The company is based in new york.,neutral
The service was sad,negative
What a dreadful situation.,negative
The company is based in new york.,neutral
I'm dealing with a abysmal scam,negative
This is truly excellent,positive
I completely dislike this.,negative
This is a factual statement.,neutral
The service was unhappy,negative
I'm dealing with a useless failure,negative
Please review the attached table,neutral
I absolutely celebrate this.,positive
I can't believe how awful this is.,negative
This situation is a total tragedy,negative
The company is based in new york.,neutral
She is preparing the report,neutral
The food tastes content,positive
This is absolutely abysmal,negative
This situation is a total struggle,negative
She is preparing the report,neutral
He is a standard procedure,neutral
This is truly great,positive
I feel very poor,negative
I wholeheartedly enjoy this product.,positive
What a perfect gift,positive
The product specifications are in the document,neutral
This is truly superb,positive
The company is based in new york.,neutral
The report contains five sections.,neutral
The service was bad,negative
The file has been downloaded.,neutral
I wholeheartedly recommend this product.,positive
The book was on the desk.,neutral
The experience works perfectly,positive
The object is rectangular.,neutral
I completely reject this.,negative
I wholeheartedly value this product.,positive
My day was filled with opportunity,positive
The file has been downloaded.,neutral
I can't believe how horrible this is.,negative
The company is based in new york.,neutral
The news was quite abysmal,negative
What a happy sunshine,positive
I feel so great,positive
I'm dealing with a annoying problem,negative
The product specifications are in the table,neutral
The movie was unhappy,negative
This is absolutely depressing,negative
She is reading the book,neutral
The object is rectangular.,neutral
It's a bad day for me.,negative
The experience is my favorite,positive
I am thoroughly impressed and wonderful,positive
The movie was frustrating,negative
It's a wonderful day today.,positive
This is absolutely bad,negative
She is driving the car,neutral
The house did on the desk.,neutral
The movie was useless,negative
I wholeheartedly admire this product.,positive
What a abysmal situation.,negative
This achievement is a reason for friendship,positive
She is reading the book,neutral
I wholeheartedly recommend this product.,positive
The experience exceeded all expectations,positive
My day was filled with success,positive
I absolutely praise this.,positive
The object is rectangular.,neutral
The experience exceeded all expectations,positive
It's a dreadful day for me.,negative
The phone had on the desk.,neutral
